"date","county","totalCases","totalDeaths","newCases","vaxInit","vaxCompleted","posTestRatio","caseDensity","infectionRate","infectionRateCI90","riskLevelOverall","vaxInitiatedRatio","vaxCompletedRatio","newDeaths","vaxAdministered","riskLevelCaseDensity","cdcTransmissionLevel","vaxAddDose","vaxAddDoseRatio"
2020-03-18,"Atlantic County",3,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA
2020-03-19,"Atlantic County",3,0,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,NA,NA
2020-03-20,"Atlantic County",3,0,0,NA,NA,NA,0,1.4,0.96,0,NA,NA,0,NA,0,0,NA,NA
2020-03-21,"Atlantic County",4,0,1,NA,NA,NA,0.1,1.42,0.87,0,NA,NA,0,NA,0,0,NA,NA
2020-03-22,"Atlantic County",5,0,1,NA,NA,NA,0.2,1.45,0.82,0,NA,NA,0,NA,0,0,NA,NA
2020-03-23,"Atlantic County",6,0,1,NA,NA,NA,0.2,1.47,0.8,0,NA,NA,0,NA,0,0,NA,NA
2020-03-24,"Atlantic County",6,0,0,NA,NA,NA,0.2,1.5,0.79,0,NA,NA,0,NA,0,0,NA,NA
2020-03-25,"Atlantic County",9,0,3,NA,NA,NA,0.3,1.52,0.79,0,NA,NA,0,NA,0,0,NA,NA
2020-03-26,"Atlantic County",10,0,1,NA,NA,NA,0.4,1.53,0.77,0,NA,NA,0,NA,0,0,NA,NA
2020-03-27,"Atlantic County",14,0,4,NA,NA,NA,0.6,1.54,0.74,0,NA,NA,0,NA,0,0,NA,NA
2020-03-28,"Atlantic County",17,0,3,NA,NA,NA,0.7,1.55,0.68,0,NA,NA,0,NA,0,0,NA,NA
2020-03-29,"Atlantic County",24,0,7,NA,NA,NA,1,1.55,0.64,0,NA,NA,0,NA,0,0,NA,NA
2020-03-30,"Atlantic County",30,0,6,NA,NA,NA,1.3,1.55,0.61,3,NA,NA,0,NA,1,0,NA,NA
2020-03-31,"Atlantic County",31,0,1,NA,NA,NA,1.3,1.54,0.57,3,NA,NA,0,NA,1,0,NA,NA
2020-04-01,"Atlantic County",40,0,9,NA,NA,0,1.7,1.52,0.54,3,NA,NA,0,NA,1,1,NA,NA
2020-04-02,"Atlantic County",50,1,10,NA,NA,0,2.2,1.5,0.5,3,NA,NA,1,NA,1,1,NA,NA
2020-04-03,"Atlantic County",75,1,25,NA,NA,0,3.3,1.48,0.46,3,NA,NA,0,NA,1,1,NA,NA
2020-04-04,"Atlantic County",98,1,23,NA,NA,0,4.4,1.45,0.42,3,NA,NA,0,NA,1,1,NA,NA
