"county","population","posTestRatio","caseDensity","infectionRate","infectionRateCI90","riskLevelOverall","riskLevelPosRatio","riskLevelCaseDensity","totalCases","totalDeaths","newCases","vaxInit","vaxCompleted","vaxInitiatedRatio","vaxCompletedRatio","newDeaths","vaxAdministered","cdcTransmissionLevel","vaxAddDose","vaxAddDoseRatio","totalCasesRatio","totalDeathsRatio"
"Atlantic County",263670,0.036,9.4,0.63,0.22,1,1,1,67785,978,22,209195,173243,0.793,0.657,0,349232,2,75903,0.288,0.257082717032654,0.0037091819319604
"Bergen County",932202,0.022,13.3,0.79,0.11,2,0,2,218390,3403,65,863879,712201,0.927,0.764,0,1418056,2,340364,0.365,0.23427325837104,0.00365049635164911
"Burlington County",445349,0.042,11.7,0.59,0.14,2,1,2,100791,1170,15,382143,326742,0.858,0.734,3,615689,2,160286,0.36,0.226319133982562,0.00262715308668033
"Camden County",506471,0.031,9.7,0.63,0.15,1,1,1,124135,1761,17,412372,343322,0.814,0.678,0,688732,2,170843,0.337,0.245097942429083,0.00347700065749075
"Cape May County",92039,0.031,9.2,0.58,0.41,1,1,1,21655,291,5,79179,66972,0.86,0.728,0,130713,2,30442,0.331,0.2352806962266,0.00316170319103858
"Cumberland County",149527,0.019,47.7,1.01,0.21,3,0,3,38680,577,24,98176,76481,0.657,0.511,0,166789,3,35233,0.236,0.258682378433326,0.00385883485925619
"Essex County",798975,0.02,12.6,0.85,0.13,2,0,2,209068,3566,65,703135,567162,0.88,0.71,0,1106023,2,239747,0.3,0.261670265027066,0.00446321849870146
"Gloucester County",291636,0.038,12.1,0.67,0.2,2,1,2,68982,934,10,217657,179227,0.746,0.615,1,384795,2,94224,0.323,0.236534584207711,0.00320262244716016
"Hudson County",672391,0.017,16.7,0.91,0.12,2,0,2,167889,2695,120,642498,513107,0.95,0.763,4,981026,3,201813,0.3,0.249689540758279,0.0040080845817389
"Hunterdon County",124371,0.034,14.1,0.77,0.32,2,1,2,24107,269,24,107877,86904,0.867,0.699,0,175561,2,45541,0.366,0.193831359400503,0.00216288363042832
"Mercer County",367430,0.023,8.7,0.64,0.18,1,0,1,74537,1241,20,324524,256332,0.883,0.698,0,521754,2,126254,0.344,0.202860408785347,0.00337751408431538
"Middlesex County",825062,0.03,19.1,0.91,0.1,2,0,2,188759,2840,98,729059,598604,0.884,0.726,2,1211274,3,291253,0.353,0.228781594595315,0.00344216555846712
"Monmouth County",618795,0.036,11.2,0.7,0.14,2,1,2,161308,2144,43,501492,416342,0.81,0.673,3,875554,2,209681,0.339,0.260680839373298,0.00346479851970362
"Morris County",491845,0.036,13.2,0.78,0.15,2,1,2,116263,1512,41,444092,377212,0.903,0.767,1,770642,2,196508,0.4,0.236381380312903,0.00307413921052364
"Ocean County",607186,0.029,11.9,0.7,0.14,2,0,2,159731,2877,52,388667,325721,0.64,0.536,3,672817,2,160513,0.264,0.263067659662772,0.00473825154071405
"Passaic County",501826,0.03,11.8,0.75,0.15,2,0,2,142319,2313,44,418581,345971,0.834,0.689,0,679802,2,134831,0.269,0.283602284457162,0.00460916732094391
"Salem County",62385,0.018,9.4,0.54,0.46,1,0,1,14178,243,2,42608,34056,0.683,0.546,0,70999,2,15728,0.252,0.227266169752344,0.00389516710747776
"Somerset County",328934,0.036,11.3,0.83,0.2,2,1,2,66350,960,12,300638,247083,0.914,0.751,0,513802,2,132702,0.403,0.20171219758371,0.00291851860859625
"Sussex County",140488,0.042,15.4,0.83,0.27,2,1,2,33398,464,16,104316,87139,0.743,0.62,1,181895,3,44392,0.316,0.237728489265987,0.00330277319059279
"Union County",556341,0.025,20.2,0.78,0.1,2,0,2,142393,2343,54,480322,389962,0.863,0.701,2,783291,3,172166,0.309,0.255945544189625,0.00421144585784618
"Warren County",105267,0.034,12.6,0.76,0.34,2,1,2,23531,335,9,87435,70743,0.831,0.672,0,119386,2,32294,0.307,0.223536340923556,0.00318238384298973
